timestep,body_id,id,x,y,z
80000.0,2.0,8.0,10.8934,-0.395335,-0.213316
80000.0,2.0,9.0,10.8136,0.581244,-0.0135088
80000.0,2.0,10.0,9.92019,0.97658,0.199807
80000.0,2.0,11.0,9.10658,0.395335,0.213316
80000.0,2.0,12.0,9.18638,-0.581244,0.0135088
80000.0,2.0,13.0,10.0798,-0.97658,-0.199807
80000.0,2.0,14.0,10.0,2.53765e-17,-7.93016e-19
90000.0,1.0,1.0,0.836842,-0.0460305,0.545505
90000.0,1.0,2.0,0.658498,0.751978,-0.0301469
90000.0,1.0,3.0,-0.178344,0.798009,-0.575652
90000.0,1.0,4.0,-0.836842,0.0460305,-0.545505
90000.0,1.0,5.0,-0.658498,-0.751978,0.0301469
90000.0,1.0,6.0,0.178344,-0.798009,0.575652
90000.0,1.0,7.0,-4.996e-17,4.996e-17,0.0
90000.0,2.0,8.0,10.8667,-0.438542,-0.237561
90000.0,2.0,9.0,10.844,0.536172,-0.0152697
90000.0,2.0,10.0,9.97723,0.974714,0.222291
90000.0,2.0,11.0,9.13326,0.438542,0.237561
90000.0,2.0,12.0,9.15603,-0.536172,0.0152697
90000.0,2.0,13.0,10.0228,-0.974714,-0.222291
90000.0,2.0,14.0,10.0,2.85486e-17,-8.92144e-19
100000.0,1.0,1.0,0.803296,-0.0358175,0.594502
100000.0,1.0,2.0,0.677958,0.734457,-0.0307726
100000.0,1.0,3.0,-0.125338,0.770274,-0.625275
100000.0,1.0,4.0,-0.803296,0.0358175,-0.594502
100000.0,1.0,5.0,-0.677958,-0.734457,0.0307726
100000.0,1.0,6.0,0.125338,-0.770274,0.625275
100000.0,1.0,7.0,-5.55112e-17,5.55112e-17,0.0
100000.0,2.0,8.0,10.8376,-0.479973,-0.261004
100000.0,2.0,9.0,10.872,0.48921,-0.0170811
100000.0,2.0,10.0,10.0344,0.969183,0.243923
100000.0,2.0,11.0,9.16244,0.479973,0.261004
100000.0,2.0,12.0,9.128,-0.48921,0.0170811
100000.0,2.0,13.0,9.96556,-0.969183,-0.243923
100000.0,2.0,14.0,10.0,3.17207e-17,-9.91271e-19
110000.0,1.0,1.0,0.767867,-0.022788,0.640204
110000.0,1.0,2.0,0.697707,0.71574,-0.0303586
110000.0,1.0,3.0,-0.07016,0.738528,-0.670563
110000.0,1.0,4.0,-0.767867,0.022788,-0.640204
110000.0,1.0,5.0,-0.697707,-0.71574,0.0303586
110000.0,1.0,6.0,0.07016,-0.738528,0.670563
110000.0,1.0,7.0,-6.10623e-17,6.10623e-17,0.0
110000.0,2.0,8.0,10.806,-0.519548,-0.283583
110000.0,2.0,9.0,10.8976,0.440445,-0.0189556
110000.0,2.0,10.0,10.0916,0.959993,0.264627
110000.0,2.0,11.0,9.19399,0.519548,0.283583
110000.0,2.0,12.0,9.10242,-0.440445,0.0189556
110000.0,2.0,13.0,9.90843,-0.959993,-0.264627
110000.0,2.0,14.0,10.0,3.48927e-17,-1.0904e-18
120000.0,1.0,1.0,0.730906,-0.00707948,0.682442
120000.0,1.0,2.0,0.717666,0.695794,-0.0287506
120000.0,1.0,3.0,-0.0132396,0.702873,-0.711192
120000.0,1.0,4.0,-0.730906,0.00707948,-0.682442
120000.0,1.0,5.0,-0.717666,-0.695794,0.0287506
120000.0,1.0,6.0,0.0132396,-0.702873,0.711192
120000.0,1.0,7.0,-6.66134e-17,6.66134e-17,0.0
120000.0,2.0,8.0,10.7722,-0.557204,-0.305238
120000.0,2.0,9.0,10.9206,0.389974,-0.0209054
120000.0,2.0,10.0,10.1483,0.947179,0.284333
120000.0,2.0,11.0,9.22776,0.557204,0.305238
120000.0,2.0,12.0,9.07941,-0.389974,0.0209054
120000.0,2.0,13.0,9.85165,-0.947179,-0.284333
120000.0,2.0,14.0,10.0,3.80648e-17,-1.18952e-18
130000.0,1.0,1.0,0.692762,0.011152,0.72108
130000.0,1.0,2.0,0.737736,0.674596,-0.0257934
130000.0,1.0,3.0,0.0449738,0.663444,-0.746873
130000.0,1.0,4.0,-0.692762,-0.011152,-0.72108
130000.0,1.0,5.0,-0.737736,-0.674596,0.0257934
130000.0,1.0,6.0,-0.0449738,-0.663444,0.746873
130000.0,1.0,7.0,-7.21645e-17,7.21645e-17,0.0
130000.0,2.0,8.0,10.7364,-0.592886,-0.325917
130000.0,2.0,9.0,10.9409,0.337909,-0.022941
130000.0,2.0,10.0,10.2045,0.930795,0.302976
130000.0,2.0,11.0,9.26361,0.592886,0.325917
130000.0,2.0,12.0,9.0591,-0.337909,0.022941
130000.0,2.0,13.0,9.79549,-0.930795,-0.302976
130000.0,2.0,14.0,10.0,4.12369e-17,-1.28865e-18
140000.0,1.0,1.0,0.653782,0.0317337,0.756017
140000.0,1.0,2.0,0.757798,0.65214,-0.0213348
140000.0,1.0,3.0,0.104016,0.620406,-0.777352
140000.0,1.0,4.0,-0.653782,-0.0317337,-0.756017
140000.0,1.0,5.0,-0.757798,-0.65214,0.0213348
140000.0,1.0,6.0,-0.104016,-0.620406,0.777352
140000.0,1.0,7.0,-7.77156e-17,7.77156e-17,0.0
140000.0,2.0,8.0,10.6986,-0.62655,-0.345572
140000.0,2.0,9.0,10.9584,0.284373,-0.0250717
140000.0,2.0,10.0,10.2598,0.910923,0.3205
140000.0,2.0,11.0,9.30142,0.62655,0.345572
140000.0,2.0,12.0,9.04161,-0.284373,0.0250717
140000.0,2.0,13.0,9.7402,-0.910923,-0.3205
140000.0,2.0,14.0,10.0,4.44089e-17,-1.38778e-18
150000.0,1.0,1.0,0.614301,0.0544781,0.787189
150000.0,1.0,2.0,0.777715,0.628433,-0.0152271
150000.0,1.0,3.0,0.163414,0.573955,-0.802416
150000.0,1.0,4.0,-0.614301,-0.0544781,-0.787189
150000.0,1.0,5.0,-0.777715,-0.628433,0.0152271
