c_com_1[1],c_com_1[2],c_com_1[3],c_com_2[1],c_com_2[2],c_com_2[3],c_vel_1[1],c_vel_1[2],c_vel_1[3],c_vel_2[1],c_vel_2[2],c_vel_2[3],c_q_1[1],c_q_1[2],c_q_1[3],c_q_1[4],c_q_2[1],c_q_2[2],c_q_2[3],c_q_2[4],c_av_1[1],c_av_1[2],c_av_1[3],c_av_2[1],c_av_2[2],c_av_2[3],c_am_1[1],c_am_1[2],c_am_1[3],c_am_2[1],c_am_2[2],c_am_2[3],c_i_1[1],c_i_1[2],c_i_1[3],c_i_2[1],c_i_2[2],c_i_2[3]
2.01112,1.19079,1.16002,3.225,-2.56353,-0.113992,0.083104,0.174067,0.0261535,-0.0797745,-0.160471,0.00373841,0.448056,0.382555,-0.630179,0.505739,-0.0633927,-0.50739,0.335576,0.791155,0.388966,0.00162921,0.0135839,0.0587046,-0.199537,0.358747,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
2.01965,1.20753,1.16241,3.21681,-2.57891,-0.113393,0.0873565,0.160767,0.0216562,-0.0840271,-0.14717,0.00823571,0.457532,0.395047,-0.622334,0.497295,-0.0552068,-0.51736,0.347463,0.780102,0.389046,0.000870647,0.0111502,0.0649106,-0.200201,0.357305,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
2.02859,1.22294,1.16435,3.2082,-2.59296,-0.112344,0.0915486,0.147358,0.0171541,-0.0882192,-0.133762,0.0127378,0.466907,0.407319,-0.614297,0.488599,-0.0467996,-0.527232,0.358984,0.768744,0.389109,0.000210168,0.00868746,0.0711552,-0.200547,0.355919,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
2.03795,1.237,1.16584,3.19917,-2.60566,-0.110845,0.0956773,0.13385,0.0126505,-0.0923478,-0.120254,0.0172413,0.476175,0.419365,-0.606072,0.479653,-0.0381708,-0.536993,0.370133,0.757089,0.389157,-0.000351134,0.00619992,0.0774223,-0.200574,0.354593,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
2.04773,1.2497,1.16688,3.18973,-2.61701,-0.108896,0.0997396,0.120253,0.00814855,-0.0964102,-0.106656,0.0217433,0.485332,0.431182,-0.597664,0.47046,-0.0293205,-0.546632,0.380905,0.745147,0.389188,-0.000812336,0.00369164,0.0836958,-0.200282,0.353331,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
2.0579,1.26104,1.16747,3.17989,-2.62699,-0.106497,0.103733,0.106575,0.00365137,-0.100403,-0.0929785,0.0262405,0.494372,0.442765,-0.589079,0.461021,-0.020249,-0.556137,0.391298,0.732931,0.389203,-0.00117268,0.00116675,0.0899593,-0.199672,0.352135,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
2.06847,1.27102,1.16761,3.16965,-2.6356,-0.103648,0.107654,0.0928269,-0.000837845,-0.104325,-0.0792305,0.0307297,0.503291,0.454111,-0.580322,0.45134,-0.010957,-0.565496,0.401306,0.72045,0.389201,-0.00143156,-0.0013706,0.0961969,-0.198745,0.351009,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
2.07943,1.27961,1.16731,3.15903,-2.64283,-0.100351,0.1115,0.0790183,-0.00531592,-0.108171,-0.0654218,0.0352078,0.512082,0.465216,-0.571397,0.44142,-0.00144525,-0.574697,0.410927,0.707715,0.389183,-0.00158857,-0.00391622,0.102392,-0.197504,0.349955,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
2.09077,1.28682,1.16655,3.14802,-2.64868,-0.0966073,0.115269,0.0651586,-0.00977971,-0.11194,-0.0515622,0.0396716,0.520741,0.476077,-0.56231,0.431262,0.00828486,-0.583728,0.420159,0.694737,0.389149,-0.00164344,-0.00646591,0.10853,-0.195951,0.348977,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
2.10248,1.29264,1.16535,3.13664,-2.65315,-0.0924176,0.118958,0.0512578,-0.0142261,-0.115629,-0.0376614,0.0441179,0.529263,0.48669,-0.553065,0.420871,0.0182318,-0.592577,0.428998,0.681528,0.389099,-0.00159608,-0.00901549,0.114594,-0.194092,0.348076,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
2.11456,1.29707,1.16371,3.1249,-2.65622,-0.0877844,0.122564,0.0373257,-0.0186518,-0.119235,-0.0237292,0.0485437,0.537643,0.497051,-0.543669,0.410249,0.0283937,-0.601233,0.437444,0.668098,0.389032,-0.00144656,-0.0115608,0.120568,-0.191931,0.347255,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
2.12699,1.3001,1.16162,3.1128,-2.65789,-0.0827097,0.126085,0.023372,-0.0230539,-0.122755,-0.00977556,0.0529457,0.545875,0.507158,-0.534127,0.399399,0.0387684,-0.609684,0.445494,0.654459,0.388949,-0.00119514,-0.0140975,0.126437,-0.189473,0.346517,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
2.13977,1.30174,1.1591,3.10035,-2.65817,-0.0771961,0.129518,0.00940662,-0.0274291,-0.126188,0.00418982,0.057321,0.553955,0.517008,-0.524443,0.388326,0.0493533,-0.617919,0.453148,0.640623,0.38885,-0.000842234,-0.0166216,0.132186,-0.186724,0.345863,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
2.15289,1.30198,1.15614,3.08756,-2.65705,-0.0712465,0.132861,-0.0045606,-0.0317745,-0.129531,0.018157,0.0616664,0.561877,0.526597,-0.514623,0.377032,0.0601457,-0.625926,0.460404,0.6266,0.388736,-0.000388414,-0.0191288,0.1378,-0.183692,0.345295,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
2.16634,1.30083,1.15274,3.07445,-2.65454,-0.0648639,0.136111,-0.0185198,-0.0360869,-0.132781,0.0321163,0.0659788,0.569637,0.535923,-0.504673,0.365521,0.0711424,-0.633693,0.467263,0.612403,0.388606,0.000165568,-0.021615,0.143265,-0.180385,0.344814,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
2.18011,1.29828,1.14892,3.06101,-2.65063,-0.0580519,0.139266,-0.0324612,-0.0403633,-0.135937,0.0460576,0.0702552,0.57723,0.544983,-0.494599,0.353797,0.08234,-0.64121,0.473726,0.598042,0.38846,0.000818799,-0.0240761,0.148567,-0.176811,0.344421,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
2.19419,1.29434,1.14467,3.04726,-2.64533,-0.0508142,0.142325,-0.0463748,-0.0446007,-0.138995,0.0599713,0.0744926,0.58465,0.553774,-0.484404,0.341864,0.0937347,-0.648465,0.479791,0.58353,0.388299,0.0015702,-0.0265082,0.153691,-0.172979,0.344119,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
2.20857,1.28901,1.14,3.03322,-2.63864,-0.0431548,0.145284,-0.060251,-0.0487961,-0.141954,0.0738474,0.078688,0.591894,0.562295,-0.474095,0.329725,0.105322,-0.655449,0.485461,0.568878,0.388124,0.00241855,-0.028907,0.158625,-0.168899,0.343906,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
2.22324,1.28229,1.13491,3.01888,-2.63056,-0.0350781,0.148142,-0.0740798,-0.0529465,-0.144812,0.0876762,0.0828384,0.598957,0.570543,-0.463678,0.317386,0.117099,-0.662149,0.490738,0.554097,0.387934,0.00336242,-0.0312688,0.163356,-0.164582,0.343784,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
2.2382,1.27419,1.12941,3.00426,-2.6211,-0.0265887,0.150896,-0.0878516,-0.057049,-0.147567,0.101448,0.0869409,0.605834,0.578516,-0.453158,0.304849,0.129059,-0.668555,0.495622,0.5392,0.387729,0.00440029,-0.0335897,0.167872,-0.160039,0.343754,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
2.25342,1.26472,1.12351,2.98937,-2.61027,-0.0176916,0.153545,-0.101557,-0.0611008,-0.150216,0.115153,0.0909926,0.612519,0.586212,-0.44254,0.292121,0.141199,-0.674658,0.500116,0.524198,0.387511,0.00553042,-0.0358657,0.172161,-0.155281,0.343815,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
2.2689,1.25388,1.1172,2.97422,-2.59808,-0.00839197,0.156087,-0.115185,-0.0650989,-0.152758,0.128782,0.0949907,0.61901,0.593629,-0.43183,0.279204,0.153512,-0.680447,0.504223,0.509102,0.387279,0.00675097,-0.0380931,0.176213,-0.150322,0.343966,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
2.28463,1.24169,1.11049,2.95882,-2.58452,0.00130466,0.15852,-0.128728,-0.0690405,-0.155191,0.142324,0.0989324,0.625301,0.600766,-0.421033,0.266103,0.165993,-0.685913,0.507946,0.493924,0.387034,0.00805992,-0.0402684,0.180015,-0.145172,0.344209,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
2.3006,1.22814,1.10339,2.94318,-2.56961,0.0113925,0.160843,-0.142175,-0.0729229,-0.157513,0.155771,0.102815,0.631387,0.60762,-0.410155,0.252824,0.178637,-0.691045,0.511288,0.478676,0.386776,0.00945511,-0.0423878,0.18356,-0.139847,0.344542,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
2.3168,1.21326,1.09591,2.92732,-2.55337,0.0218655,0.163053,-0.155517,-0.0767433,-0.159724,0.169113,0.106635,0.637266,0.614192,-0.399202,0.239371,0.191437,-0.695834,0.514253,0.463369,0.386505,0.0109343,-0.044448,0.186837,-0.134359,0.344964,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
