timestep,body_id,id,x,y,z
8000.0,1.0,1.0,1.13123,0.366276,0.199218
8000.0,1.0,2.0,0.573985,1.19552,0.241978
8000.0,1.0,3.0,-0.420665,1.13438,0.158722
8000.0,1.0,4.0,-0.858075,0.243995,0.0327043
8000.0,1.0,5.0,-0.300833,-0.585254,-0.0100565
8000.0,1.0,6.0,0.693818,-0.524114,0.0732001
8000.0,1.0,7.0,0.136576,0.305135,0.115961
8000.0,2.0,8.0,1.95532,0.995688,2.07257
8000.0,2.0,9.0,1.6326,1.93598,1.96436
8000.0,2.0,10.0,0.662073,2.14785,2.07921
8000.0,2.0,11.0,0.0142661,1.41943,2.30227
8000.0,2.0,12.0,0.336985,0.479141,2.41047
8000.0,2.0,13.0,1.30751,0.26727,2.29562
8000.0,2.0,14.0,0.984792,1.20756,2.18742
9000.0,1.0,1.0,1.15977,0.386758,0.274869
9000.0,1.0,2.0,0.618689,1.22763,0.28753
9000.0,1.0,3.0,-0.375525,1.18398,0.189383
9000.0,1.0,4.0,-0.828658,0.29945,0.0785741
9000.0,1.0,5.0,-0.287577,-0.541425,0.0659129
9000.0,1.0,6.0,0.706637,-0.497772,0.16406
9000.0,1.0,7.0,0.165556,0.343104,0.176721
9000.0,2.0,8.0,1.92161,1.00224,2.05016
9000.0,2.0,9.0,1.61926,1.94943,1.94326
9000.0,2.0,10.0,0.670773,2.19688,2.14109
9000.0,2.0,11.0,0.0246263,1.49714,2.44582
9000.0,2.0,12.0,0.326969,0.549952,2.55272
9000.0,2.0,13.0,1.27546,0.302504,2.35489
9000.0,2.0,14.0,0.973116,1.24969,2.24799
10000.0,1.0,1.0,1.19794,0.393936,0.30295
10000.0,1.0,2.0,0.683745,1.25085,0.339144
10000.0,1.0,3.0,-0.312467,1.2402,0.252845
10000.0,1.0,4.0,-0.794488,0.372649,0.130352
10000.0,1.0,5.0,-0.280296,-0.484262,0.0941571
10000.0,1.0,6.0,0.715916,-0.473619,0.180456
10000.0,1.0,7.0,0.201724,0.383292,0.216651
10000.0,2.0,8.0,1.86084,0.987121,2.04187
10000.0,2.0,9.0,1.57957,1.93609,1.89925
10000.0,2.0,10.0,0.667734,2.23502,2.18066
10000.0,2.0,11.0,0.0371581,1.58497,2.6047
10000.0,2.0,12.0,0.318421,0.635997,2.74733
10000.0,2.0,13.0,1.23026,0.337073,2.46592
10000.0,2.0,14.0,0.948997,1.28604,2.32329
11000.0,1.0,1.0,1.25479,0.403025,0.328454
11000.0,1.0,2.0,0.77307,1.27777,0.380993
11000.0,1.0,3.0,-0.222088,1.30697,0.287141
11000.0,1.0,4.0,-0.735526,0.461426,0.140751
11000.0,1.0,5.0,-0.253805,-0.413323,0.0882119
11000.0,1.0,6.0,0.741353,-0.442523,0.182063
11000.0,1.0,7.0,0.259632,0.432225,0.234602
11000.0,2.0,8.0,1.79726,0.997143,2.0535
11000.0,2.0,9.0,1.48888,1.92687,1.85223
11000.0,2.0,10.0,0.609886,2.24919,2.20362
11000.0,2.0,11.0,0.039262,1.64178,2.75629
11000.0,2.0,12.0,0.347635,0.712046,2.95756
11000.0,2.0,13.0,1.22663,0.38973,2.60617
11000.0,2.0,14.0,0.918259,1.31946,2.40489
12000.0,1.0,1.0,1.30828,0.436408,0.315275
12000.0,1.0,2.0,0.847349,1.32011,0.396606
12000.0,1.0,3.0,-0.147363,1.37506,0.309843
12000.0,1.0,4.0,-0.681144,0.546315,0.141748
12000.0,1.0,5.0,-0.220213,-0.337386,0.0604163
12000.0,1.0,6.0,0.7745,-0.39234,0.14718
12000.0,1.0,7.0,0.313568,0.491361,0.228511
12000.0,2.0,8.0,1.69927,1.02184,2.08532
12000.0,2.0,9.0,1.32203,1.90925,1.82037
12000.0,2.0,10.0,0.482462,2.24362,2.24853
12000.0,2.0,11.0,0.0201221,1.69058,2.94163
12000.0,2.0,12.0,0.397354,0.803164,3.20657
12000.0,2.0,13.0,1.23693,0.468795,2.77842
12000.0,2.0,14.0,0.859695,1.35621,2.51347
13000.0,1.0,1.0,1.34236,0.46144,0.271032
13000.0,1.0,2.0,0.911243,1.34902,0.43334
13000.0,1.0,3.0,-0.0836722,1.43779,0.385767
13000.0,1.0,4.0,-0.647467,0.638989,0.175886
13000.0,1.0,5.0,-0.216348,-0.248588,0.0135782
13000.0,1.0,6.0,0.778567,-0.337362,0.0611509
13000.0,1.0,7.0,0.347448,0.550215,0.223459
13000.0,2.0,8.0,1.57498,1.02445,2.1305
13000.0,2.0,9.0,1.15981,1.88888,1.84696
13000.0,2.0,10.0,0.381043,2.25932,2.35321
13000.0,2.0,11.0,0.0174439,1.76533,3.143
13000.0,2.0,12.0,0.432615,0.900904,3.42654
13000.0,2.0,13.0,1.21138,0.530462,2.92029
13000.0,2.0,14.0,0.796214,1.39489,2.63675
14000.0,1.0,1.0,1.35921,0.44442,0.144414
14000.0,1.0,2.0,0.974496,1.34458,0.348614
14000.0,1.0,3.0,-0.0172319,1.46929,0.378995
14000.0,1.0,4.0,-0.624241,0.693841,0.205177
14000.0,1.0,5.0,-0.239523,-0.206322,0.000977305
14000.0,1.0,6.0,0.752205,-0.331033,-0.0294045
14000.0,1.0,7.0,0.367487,0.56913,0.174795
14000.0,2.0,8.0,1.48409,1.07079,2.24916
14000.0,2.0,9.0,1.08469,1.9585,2.02016
14000.0,2.0,10.0,0.350093,2.33657,2.58357
14000.0,2.0,11.0,0.0148883,1.82693,3.37597
14000.0,2.0,12.0,0.414285,0.939208,3.60496
14000.0,2.0,13.0,1.14889,0.561138,3.04156
14000.0,2.0,14.0,0.74949,1.44886,2.81256
15000.0,1.0,1.0,1.38095,0.463425,0.037535
15000.0,1.0,2.0,1.03176,1.37021,0.273777
15000.0,1.0,3.0,0.0476928,1.51626,0.375139
